,PCA
407,0.1603151
408,0.1593122
409,0.15872154
410,0.15742524
411,0.15628897
412,0.15547124
413,0.1543527
414,0.1523192
415,0.15196806
416,0.15052482
417,0.15000783
418,0.14869359
419,0.14817564
420,0.14637306
421,0.145137
422,0.14446644
423,0.14396176
424,0.14283825
425,0.14166379
426,0.1393462
427,0.13853823
428,0.13766304
429,0.13629302
430,0.13516895
431,0.13484879
432,0.1333054
433,0.13179275
434,0.13093649
435,0.12966625
436,0.12894724
437,0.12793078
438,0.12755242
439,0.12669201
440,0.12499043
441,0.12448251
442,0.1234249
443,0.121591754
444,0.1212304
445,0.12022751
446,0.11900235
447,0.11796483
448,0.11671263
449,0.11643115
450,0.11500986
451,0.11413396
452,0.11200924
453,0.11111725
454,0.110636786
455,0.110559486
456,0.10879679
457,0.10772819
458,0.106718145
459,0.10514528
460,0.10337444
461,0.10272449
462,0.10169471
463,0.100294486
464,0.09964703
465,0.09864593
466,0.096755125
467,0.09588172
468,0.09541536
469,0.09362794
470,0.093131304
471,0.092609555
472,0.091947
473,0.090546235
474,0.08994295
475,0.08835287
476,0.08746271
477,0.08702666
478,0.08570448
479,0.08350197
480,0.08232018
481,0.080463275
482,0.07960562
483,0.07813346
484,0.076513946
485,0.07503859
486,0.07336216
487,0.07224102
488,0.070053
489,0.06790218
490,0.06678466
491,1.4879398e-10
