"","id","EVI","Human Footprint","Humidity Score","Water Bodies","Location Score 1","Location Score 2","Population","Density","Pop Score","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","Mean Luminosity","wealth"
"178",178,3913.2,32.13661202,1.21358244044919,14539.39231,-0.000534937771427768,-0.71337030862179,123371.5547,392.7038553,0,-2.10017919540405,26.2798290252686,-0.995383143424988,1.0523430109024,-7.25515556335449,-2.466796875,1.93404984474182,-6.09336948394775,2.78795218467712,-2.77806258201599,0,-0.43075
"179",179,3599.666667,30.26430518,0.418541753697495,25042.27655,-0.330393760839639,0.465376012492237,170819.7344,543.7361021,0,1.4184205532074,-3.13643050193787,-4.96007585525513,-9.12947463989258,8.11433696746826,-2.59630966186523,3.7379686832428,2.99859309196472,5.92875003814697,1.52555370330811,0.3,-0.652175
"180",180,4333,40,-2.68748352260292,28705.15214,-0.135948753907154,-0.883440062089404,12714.68164,1011.802216,0,-14.0181751251221,-5.60711622238159,-2.1702868938446,13.1923503875732,9.82780265808105,-5.47142839431763,-10.701602935791,3.18888139724731,-4.37700366973877,-3.35791492462158,0,-0.34581
"181",181,4323.3,25.86253369,-1.48124763770654,21976.79471,3.46772041174229,0.124625751818107,103265.4063,328.7039973,0,-7.70833349227905,-4.02838802337646,-15.256965637207,-2.75858974456787,-7.92593955993652,10.2938766479492,-1.70689654350281,-7.14793968200684,8.10756778717041,3.45516037940979,0,-0.42192
"182",182,3785.777778,35.75880759,0.164100670358974,23985.6217,-0.0827123890575814,0.716142351957743,142248.4063,452.7907402,0,-4.71889495849609,-13.7681503295898,-10.6481437683105,-9.65436744689941,-6.82179546356201,-6.42075777053833,-6.82731628417969,-2.69976043701172,4.82650089263916,3.28179693222046,0,-0.4494
"183",183,3897.7,37.32240437,-0.873275909805934,11933.93686,0.681924904511352,0.43978886383279,191149.1875,608.4467612,0,-7.25840759277344,-0.556643605232239,6.34732866287231,19.4642105102539,-8.38935947418213,-16.7300071716309,-6.26969623565674,-1.42682135105133,8.39276885986328,1.98048806190491,0,-0.42233
"184",184,3830.545455,29.73351648,1.50245080916336,2344.787228,0.0780580654143549,-0.26705399021615,112449.5469,357.9380248,0,9.00042915344238,-4.24397468566895,15.2956790924072,11.2112426757812,6.3015923500061,0.744203150272369,9.11492729187012,-0.0550336502492428,6.01416778564453,-14.3767910003662,0,-0.31204
"185",185,3641,28.36784741,1.58735967437646,17985.61724,-1.60636299189064,-0.804021796234111,115215.25,366.7415311,0,10.6092987060547,3.00382781028748,6.43943119049072,-15.6467781066895,-3.40611553192139,2.76950359344482,-4.11501932144165,2.81691265106201,-3.47088932991028,-0.990008413791656,0.18,-0.23937
"186",186,3768.583333,31.54371585,0.451430938915606,25455.19257,1.59155625144319,1.7055398123407,125169.9688,398.4283852,0,-1.63158476352692,24.7388572692871,-12.6310529708862,-4.79752159118652,-10.0832605361938,-6.89643096923828,1.84098052978516,-2.3259289264679,-2.4510326385498,0.683125495910645,3.33,-0.431305
"187",187,4157.5,35.58265583,0.689549098938544,20818.90523,0.746892669108655,1.4268233490178,115996.6719,369.2288743,0,17.154691696167,11.8621587753296,16.0514698028564,-10.6288280487061,14.8145360946655,-7.83262968063354,1.86293458938599,-16.6619930267334,-10.6509590148926,-17.0480194091797,0,0.164725
"188",188,3569.916667,35.12365591,0.972433168083595,41866.1271,-1.56441600072094,-0.365771930250426,176501.4375,561.8215248,0,5.38089179992676,-4.29832077026367,-3.47093152999878,-5.84257650375366,-3.99342966079712,-7.11230850219727,-6.48031377792358,0.301068514585495,0.931181192398071,3.28680729866028,0.06,-0.255225
"189",189,2909.888889,24.99288256,-1.37129470430946,3904.080306,1.77882991357903,-0.23014446737304,128886.7031,410.2591179,0,-1.50594806671143,-12.1516132354736,-0.87397825717926,0.887607872486115,1.27988517284393,17.8504047393799,-4.93157243728638,8.32763481140137,-3.47735190391541,5.8786735534668,0,-0.02544
"190",190,3871.1,27.18082192,-1.97229561535758,9326.975875,1.78838547599064,-0.47539761573464,183532.8906,584.2033352,0,-15.2843255996704,-2.64180779457092,-9.97783184051514,3.40874743461609,3.37566328048706,-0.70532101392746,-8.12809371948242,0.708121180534363,-4.30151796340942,-0.962958216667175,0,-0.26787
"191",191,3992.1,40.52316076,-0.641091089224911,15178.75895,-0.163015943976824,-0.305418148091973,176999.3438,563.4064098,0,-11.1740369796753,5.31558895111084,15.3670444488525,9.26912212371826,-6.81595277786255,-1.0082688331604,0.302006423473358,15.0978841781616,-9.27889537811279,-1.46465933322906,0,-0.330275
"192",192,3503.444444,28.3638814,1.34119741455514,12699.41603,0.525160150804376,0.405417714026148,75261.65625,239.5652923,0,7.23803758621216,8.44247055053711,6.95341014862061,-6.27010631561279,-13.1805953979492,10.7323598861694,2.16751432418823,9.14226722717285,2.10877847671509,-9.64546775817871,0,-0.402105
"193",193,2513,48.8125,1.47215174211691,28546.97561,-2.41684019045247,0.210719953891593,202431.4688,16108.98445,1,4.23241758346558,24.8155651092529,-8.41373062133789,8.31975173950195,7.68006372451782,-10.1939764022827,-0.495766907930374,2.90741801261902,-8.43409156799316,3.55112528800964,39.82,2.48492
"194",194,3383.4,30.47252747,1.73557192988562,18082.03344,0.143969056400349,-0.760354884197801,78233.60938,249.025313,0,-4.82358503341675,-12.298282623291,-2.66393804550171,7.26096200942993,-0.176646456122398,-8.94172954559326,-2.52114605903625,12.1935062408447,-2.01529479026794,4.2692608833313,0,-0.35602
"195",195,2512,61.4,1.60850684981262,26187.13683,-2.70818907149755,0.167836172080869,51807.03906,4122.673177,0,22.2020874023438,-10.0928716659546,-3.84498071670532,0.0351276434957981,0.907732129096985,-4.09774446487427,-5.88418579101562,13.901086807251,6.428382396698,13.0686988830566,47.3,2.25449
"196",196,2513,48.8125,1.47215174211691,28578.79269,-2.42333471642041,0.206442080617438,202431.4688,16108.98445,1,11.1415452957153,4.75558662414551,-14.5896778106689,0.167635828256607,1.85324442386627,-8.1783390045166,-4.96371126174927,1.3091881275177,-7.18998765945435,-1.33003735542297,36.45,2.81979
"197",197,3344,34.73333333,-0.264442750370989,40515.33899,-0.20005141464648,0.380666575944075,20407.23828,1623.956424,0,-5.87057876586914,15.9550809860229,5.1595573425293,-20.6108722686768,-1.55766117572784,-11.460373878479,4.29856014251709,4.41346645355225,2.69745469093323,0.940730571746826,3.53,0.28436
