DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
RW201400000228,228,89577.75,101029.8438,285.1348341,321.5879808,5717.924118999999,0.032722133,-9999.0,3191.888889,2959.777778,20.70189702,11.0,0.42206863200000005,0.74295552,0.06560974900000001,0.113006353,0.024764285,1614.663957,20930.90537,63548.552079999994,14287.013530000002,979.5,740.6,147.68292680000002
RW201400000229,229,216658.2188,244356.9219,689.6445297,777.8122400000001,7504.645777,0.021124235,1.0,3459.0,3391.111111,32.80874317,11.0,0.40686188,0.71509868,0.071112905,0.053758238,0.356072836,1538.749319,15091.50984,36384.085869999995,38652.19973,1287.0,1165.777778,175.98910080000002
RW201400000230,230,164710.2031,185767.5938,524.28886,591.3166164,7054.233695999999,0.003713686,-9999.0,3696.7,3690.5,31.13043478,12.0,0.42505221,0.7491391759999999,0.039697809,0.055017803,0.009719212,1575.872283,27237.857819999997,38448.3013,29459.0676,1121.5,925.0,234.7146739
RW201400000231,231,94890.34375,107021.6094,7551.133629999999,8516.509076999999,6165.4,0.426038815,-9999.0,3141.0,3210.0,45.4,11.0,0.291371082,0.561258674,0.018759467,0.030347882000000003,5.625420932000001,1594.266667,39685.06683,60985.93572,25009.69755,1097.0,870.0,9.666666667000001
RW201400000232,232,90301.125,103120.5391,287.4374082,328.2428706,6101.373297,0.010447796,-9999.0,3021.545455,2934.272727,21.03542234,11.0,0.38821739299999997,0.6993780620000001,0.123654204,0.21627891100000002,0.002525434,1608.874659,5312.348621,68929.53034,2313.55394,1078.2,860.4,160.1226158
RW201400000233,233,5960.336426,6722.336914,474.3085023,534.9465745,5335.75,0.022105245,-9999.0,3670.0,3495.0,32.5,11.0,0.39419466200000003,0.693432446,0.116956428,0.04549152,0.432174238,1636.25,37106.32976,25980.521930000003,31768.881260000002,983.0,813.0,91.6875
RW201400000234,234,167952.375,194052.0625,534.6090137,617.6868992999999,7747.391667,0.009036048,1.0,3495.6,3428.3,35.19337017,11.0,0.39763306600000003,0.699511793,0.11854798,0.07070558099999999,0.001220853,1545.802778,2643.906887,24447.469090000002,51275.43686,1323.3,1269.3,142.51944440000003
RW201400000235,235,53458.33594,60292.72656,4254.079207,4797.942732,5858.642857,0.673483775,-9999.0,2512.0,2552.0,60.14285714,11.0,0.434295827,0.756073399,0.023651619,0.031270675,9.147996012,1614.357143,45970.484730000004,62104.92947999999,25233.076090000002,1091.0,860.0,14.78571429
RW201400000236,236,170485.8594,192281.6563,542.673345,612.0515213,8193.079235,0.012135534,-9999.0,3874.3,3810.9,40.6557377,13.0,0.39112722299999997,0.696489886,0.047486670999999994,0.051832301,0.006789396,1529.726776,43612.56185,21249.9425,32385.7224,1370.888889,1182.222222,167.16666669999998
RW201400000237,237,141682.6719,159796.125,450.9899517,508.6468636,6950.248648999999,0.004482601,-9999.0,3594.888889,3601.888889,26.3,12.0,0.430073639,0.755141315,0.047299679000000004,0.079463116,0.048420408,1588.27027,15143.03241,44194.76079,18461.70367,1111.555556,929.8888889000001,277.0459459
RW201400000238,238,107555.0781,121305.4844,342.35844669999994,386.12734930000005,5537.360215,0.00174103,-9999.0,3485.916667,3272.333333,30.47708895,11.0,0.459620491,0.789885788,0.065192747,0.072269408,0.006545003000000001,1604.193548,27247.588639999998,40576.2157,626.133647,1085.25,843.0833332999998,200.8790323
RW201400000239,239,141220.8125,159275.2188,449.5198075,506.98876770000004,8195.674731000001,0.0042401520000000005,-9999.0,3870.9,3840.6,38.84864865,13.0,0.383052613,0.690451433,0.048520633,0.049491848,0.0046553309999999995,1522.55914,32792.552789999994,36122.3746,20539.85137,1345.6,1111.5,240.1236559
RW201400000240,240,135455.2656,152772.5625,431.1675018,486.2901698,6664.070461,0.028081053999999998,-9999.0,3992.7,3863.2,39.24932249,11.0,0.38724391700000005,0.686334905,0.05961892,0.039877951,0.009947184,1517.159892,32669.319089999997,50148.564210000004,43953.89064,1158.1,1004.1,115.84281840000001
RW201400000241,241,186626.7656,211929.3125,594.0514452000001,674.5919534,8258.811475,0.021248465,1.0,4281.5,4227.8,28.40163934,12.0,0.44442325899999996,0.784664365,0.07210677,0.07779182700000001,0.014250391999999999,1584.762295,1750.638377,7955.7346689999995,22821.16734,1342.6,1429.9,554.0273224
RW201400000242,242,147178.875,168713.8125,468.48490949999996,537.0327445,8577.90411,0.004799371,1.0,3471.9,3418.7,32.22465753,11.0,0.42982606100000004,0.743653004,0.098416499,0.069525114,0.000989064,1497.8,1957.2262600000001,14217.63415,60484.682510000006,1392.444444,1316.0,190.78356159999998
RW201400000243,243,123878.0469,139715.2656,394.31607010000005,444.7275029,7929.5856349999995,0.007230886999999999,-9999.0,3767.222222,3731.666667,37.51239669,13.0,0.396357863,0.708255704,0.04628187,0.049642444,0.003978724,1545.632597,40633.5731,30793.119880000002,29195.85069,1298.555556,1081.0,240.4723757
RW201400000244,244,156604.7344,176625.8906,12462.2088,14055.441780000001,6496.1875,0.48827560700000006,-9999.0,3579.0,3694.0,40.625,11.0,0.27790529399999997,0.542872233,0.0162501,0.024982985,6.069172826,1577.875,40205.3531,56471.93507000001,29879.98686,1161.0,917.0,11.75
RW201400000245,245,114042.3516,128622.125,363.00807960000003,409.4169397,9423.629031999999,0.004239024,-9999.0,3702.0,3699.7,33.24528302,13.0,0.439619796,0.756676026,0.044849597000000005,0.054094709000000005,0.006477473,1431.247312,34044.45336,16395.48417,18664.29872,1329.888889,1224.111111,280.4731183
RW201400000246,246,214953.375,242434.125,684.2178432999999,771.6917874,8008.133879999999,0.013638222,-9999.0,3526.3,3482.7,33.99178082,12.0,0.422355394,0.73854166,0.040244607,0.05228277,0.095046987,1511.724044,38573.21516,22673.74136,40710.98207,1226.3,1071.6,99.71584699
RW201400000247,247,6233.110352000001,7029.983398,496.01516169999996,559.4283038,5319.666667,0.04885160400000001,-9999.0,3305.0,3552.0,42.8,12.0,0.36929314,0.658968204,0.132757813,0.06283981400000001,0.043636164000000005,1650.866667,2566.074365,30027.55015,44064.930980000005,909.0,772.0,152.0
RW201400000248,248,129496.9219,147099.2969,412.2015047,468.2316045,7148.05163,0.003903645,1.0,3764.4,3701.6,34.28532609,11.0,0.422545503,0.74290077,0.091525269,0.11317679900000001,0.002488803,1594.0543480000001,5545.565984000001,49791.510689999996,20954.37929,1304.0,1130.9,489.30706519999995
RW201400000249,249,188409.9219,213497.6875,599.727408,679.5842461,8729.841962,0.015277913999999998,1.0,4270.4,4243.7,27.73297003,12.0,0.44295539700000003,0.782958259,0.064132571,0.06883875,0.012652967,1552.847411,2956.884033,6243.832483,21127.49525,1370.6,1438.2,568.4223433
RW201400000250,250,199886.1719,225440.6563,636.2574463,717.5998965,7876.915989,0.009672524,-9999.0,3914.9,3893.1,33.95663957,13.0,0.365152335,0.662286251,0.050088747999999995,0.046374284,0.023771906000000002,1467.336043,16497.887280000003,35273.23717,19990.68822,1328.555556,1076.444444,123.7127371
RW201400000251,251,156094.4219,176050.3438,496.8639767,560.3856490000001,6307.1739130000005,0.026442003,-9999.0,3799.8,3645.7,37.36413043,11.0,0.40117999600000004,0.7078593759999999,0.041366266,0.041264819,0.14780178300000002,1583.108696,43503.88258,61614.39659,36689.879,1132.8,948.0,68.59782609
RW201400000252,252,8539.702148,9631.461914,679.5679047,766.4473864,6431.428571,0.045219012999999995,-9999.0,3474.0,3420.0,34.0,13.0,0.41632405299999997,0.735771215,0.034463815,0.046099849000000005,0.7700974309999999,1614.785714,39448.24498,48141.910639999995,37394.498680000004,1103.0,909.0,33.14285714
